Anki genutzt;Anki genutzt;Anki hilfreich;"Pruefungspunkte
"
0;2;;23
1;1;1;26
1;1;1;19
0;2;;14
1;1;1;26
0;2;;19
0;2;;23
0;2;;23
0;2;;20
0;2;;21
1;1;1;24
0;2;;21
0;2;;21
0;2;;23
0;2;;24
1;1;2;19
1;1;1;18
0;2;;29
1;1;1;16
0;2;;16
0;2;;17
0;2;;27
0;2;;17
0;2;;28
0;2;;27
0;2;;24
1;1;1;28
0;1;1;24
0;1;2;30
0;2;;25
0;2;;23
0;2;;28
1;1;1;24
0;2;;25
0;2;;25
0;2;;18
1;1;1;27
0;2;;22
0;2;;18
0;1;1;28
0;2;;28
0;2;;28
1;1;1;17
1;1;2;16
1;1;1;17
0;2;;24
0;2;;27
1;1;1;18
1;1;1;23
1;1;1;23
0;2;;22
1;1;1;23
0;1;1;28
1;1;1;17
0;2;;24
0;2;;20
0;2;;22
1;2;;23
1;1;2;26
0;2;;26
0;2;;25
0;2;;22
0;;;21
0;;;26
0;2;;22
1;1;1;23
0;2;;19
0;2;;25
0;1;2;27
0;2;;20
0;2;;28
0;;;28
0;2;;19
0;2;;17
1;1;1;20
1;1;1;19
1;1;1;20
0;2;;26
0;2;;25
0;2;;23
0;2;;19
0;2;;26
