Anki genutzt;Anki hilfreich;Anki Umfang;Punkte
2;;;29
2;;;33
2;;;36
1;2;3;33
;;;37
1;1;2;30
2;;;37
2;;;32
1;2;2;28
1;2;3;33
2;;;34
1;1;1;28
2;;;27
1;2;1;23
2;;;33
2;;;24
1;1;2;34
1;1;2;33
2;;;36
2;;;37
2;;;33
1;2;2;34
2;;;32
2;;;36
2;;;35
2;;;24
2;;;37
2;;;33
2;;;33
2;;;36
1;2;1;32
2;;;26
1;1;1;33
1;1;3;32
1;1;2;27
1;1;2;34
;;;34
1;1;1;27
1;1;1;38
2;;;28
2;;;35
2;;;35
1;1;1;36
2;;;34
;;;
2;;;37
1;1;2;
2;;;33
1;2;1;30
2;;;32
1;1;2;32
2;;;28
2;;;35
2;;;34
1;1;1;36
1;2;3;28
2;;;37
1;1;1;20
1;2;1;31
2;;;37
;1;1;25
2;;;24
1;2;2;31
2;;;39
1;1;2;
1;1;1;26
2;;;37
1;1;1;36
1;1;2;
2;;;27
2;;;35
2;;;31
1;1;2;23
1;1;1;35
2;;;35
1;1;2;29
1;1;2;34
1;1;2;31
1;1;2;32
;;;29
1;1;1;14
1;2;1;29
2;;;27
1;1;1;31
2;;;35
1;1;1;38
2;;;26
2;;;25
1;1;1;31
;;;18
1;1;1;29
2;;;32
2;;;32
1;1;1;35
1;1;2;33
2;;;36
1;1;2;30
1;1;1;30
1;1;3;31
2;;;39
1;1;1;32
2;;;36
2;;;31
2;;;30
2;;;28
2;;;32
1;1;2;32
2;;;22
1;1;1;32
2;;;32
;;;35
1;1;2;34
2;;;24
2;;;33
2;;;27
2;;;29
2;;;32
1;1;1;27
1;1;1;25
1;2;3;28
2;;;31
1;1;2;27
2;;;26
1;1;1;35
1;1;1;34
1;1;2;36
2;;;
1;1;1;33
2;;;26
2;;;38
2;;;23
2;;;
1;1;1;37
2;;;26
2;;;36
2;1;3;27
2;;;36
2;;;29
1;;3;22
1;1;2;38
2;;;36
2;;;27
1;1;3;32
2;;;36
2;;;32
2;;;32
1;1;1;34
1;2;3;31
2;;;
1;1;2;27
2;;;32
1;1;3;26
1;1;1;32
2;;;31
1;1;3;24
1;1;3;34
1;1;1;29
1;1;2;26
1;1;1;34
1;1;2;35
1;1;2;30
1;1;2;38
1;1;1;20
1;1;1;32
2;;;35
1;;1;23
1;1;1;28
1;1;2;27
2;;;32
2;;;30
1;1;3;31
1;1;1;28
2;;;32
1;2;2;35
2;;;24
1;1;1;30
1;1;1;24
2;;;37
2;;;35
2;;;36
2;;;38
2;;;36
1;2;3;36
1;1;1;33
1;1;1;32
1;1;1;26
1;1;1;38
2;;;25
2;;;
2;;;34
1;1;2;35
1;1;1;28
2;;;35
2;;;35
1;1;3;26
2;;;33
2;;;38
;;;35
2;;;32
1;1;2;28
1;1;2;24
2;;;38
2;;;30
2;;;29
2;;;28
1;1;3;19
1;1;1;37
2;;;21
1;1;1;29
2;2;;31
2;;;26
2;;;
2;;;31
1;1;2;37
1;2;2;38
1;1;2;34
;1;2;27
2;;;38
2;;;23
2;;;30
1;2;2;32
;1;2;36
2;;;34
2;;;28
2;;;32
;;;26
1;1;1;19
2;;;33
1;2;3;35
2;;;35
1;1;;28
2;;;36
2;;;33
1;1;2;28
1;1;2;17
1;1;1;33
