Bogen;Segmentierte Handschrift;Segmentierte Handschrift;Ich stimme der Datenverarbeitung sowie der Datenweitergabe für Lehrforschungszwecke und die Verbesserung der Lehre an der Medizinischen Fakultät der Universität Ulm zu.;Q9-Skripte, digitale Nutzung;Q9-Skripte, Papierdruck;Lehrbuch/-bücher Wenn ja, welches Lehrbuch nutzen Sie primär? ____________________________________________;Leitlinien der Fachgesellschaften (im Original);Anki-Lernkarten (bereitgestellt durch das Institut für Klin. Pharmakologie);Anki-Lernkarten (selbsterstellt oder anderweitig erstellt);Testfragen auf Moodle;Patientenfälle/Aufgaben auf Moodle ;weitere E-Learning-AngeboteWenn ja, welches Angebot nutzen Sie primär? ____________________________________________;andere: ____________________________________________;2. Wie kann Ihre grundsätzliche Haltung gegenüber E-Learning-Angeboten beschrieben werden?;Lernskripte;zeitunabhängig angebotene Vorlesungs- und Seminarvideos;Online-Live-Veranstaltungen an bestimmten Terminen (z.B. über Zoom);Präsenzveranstaltungen an bestimmten Terminen;Aufgaben zur eigenständigen Bearbeitung (mit Lösung);Testfragen zu den Lerninhalten;Alle angegebenen Formate sind gleich nützlich;4. Welche Form der Lehre würden Sie in Zukunft bevorzugen?;5. Haben Sie Anmerkungen zum Unterricht in Q9 im vergangenen Semester?;6. Wie schätzen Sie Ihre Studienleistung  insgesamt im Vergleich zu anderen Studierenden Ihres Semesters ein?;7. Wie schätzen Sie Ihre Studienleistung  im Fach Klinische Pharmakologie im Vergleich zu anderen Studierenden Ihres Semesters ein?;Nein, nicht wesentlich.;Ja, ich habe seitdem weniger Zeit mit studienbezogenen Tätigkeiten (z.B. Lernen) verbracht als zuvor.;Ja, ich habe seitdem mehr Zeit mit studienbezogenen Tätigkeiten (z.B. Lernen) verbracht als zuvor.;Ja, ich verwende seitdem mehr E-Learning-Tools als vorher.;Ja, ich lerne seitdem weniger gemeinsam mit Kommilitonen/in Lerngruppen als vorher.;Ja, ich lerne seitdem mehr gemeinsam mit Kommilitonen/in Lerngruppen als vorher.;Sonstige Veränderungen: ______________________________________;Wie alt sind Sie (in Jahren)?;Bitte geben Sie Ihr Geschlecht an:;Datensatz-Ursprung;"Pruefungspunkte
"
1;DR   06;DR   15;1;0;1;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;3;[LEER];4;4;0;0;0;1;1;0;0;ZZ;1;P;16
2;AN   17;EN   08;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;[LEER];3;3;1;0;0;0;0;0;0;ZZ;1;P;24
3;BE   10;HE   24;1;1;0;0;0;0;0;0;0;1;0;1;1;1;0;1;1;1;0;3;[LEER];3;3;0;0;1;0;1;0;0;23;1;P;21
4;EI   13;RE   27;1;0;1;0;0;0;0;1;1;0;0;;1;0;0;0;0;1;0;3;[LEER];3;3;0;0;0;0;1;0;0;ZZ;1;P;17
5;;XY   99;1;1;0;1;0;0;0;0;1;1;0;1;1;1;0;1;1;1;0;3;[LEER];3;3;0;1;1;0;1;0;0;ZZ;2;P;
6;KS   19;DA   05;1;1;0;1;0;0;0;0;1;0;0;1;1;0;0;1;0;1;0;3;[LEER];3;3;0;0;0;1;0;0;0;ZZ;2;P;20
7;MO   16;MI   24;1;1;0;0;0;0;0;0;1;0;0;1;1;0;0;1;1;1;0;2;[LEER];2;4;0;1;0;0;1;0;0;ZZ;1;P;25
8;AN   21;UW   14;;1;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;3;[LEER];3;3;0;1;0;0;1;0;0;ZZ;1;P;22
9;RE   10;TH   10;1;1;0;0;0;0;0;1;1;0;1;1;0;0;0;1;1;1;0;3;[LEER];3;2;0;0;1;0;0;0;0;Z6;2;P;18
10;KA   14;GE   26;1;1;0;0;0;0;0;0;1;1;0;1;1;0;0;1;1;1;0;3;[LEER];5;5;1;0;0;0;0;0;0;ZZ;2;P;26
11;KA   06;AC   15;1;1;0;0;0;0;0;1;1;0;0;1;1;1;0;1;0;1;0;2;[LEER];4;2;0;1;0;0;0;1;0;ZZ;2;P;20
12;CA   17;BE   29;1;1;0;0;0;0;0;0;1;0;1;1;1;1;0;1;1;1;1;3;[LEER];3;2;0;0;1;1;0;0;0;Z8;1;P;23
