Bogen;Segmentierte Handschrift;Segmentierte Handschrift;Ich stimme der Datenverarbeitung sowie der Datenweitergabe für Lehrforschungszwecke und die Verbesserung der Lehre an der Medizinischen Fakultät der Universität Ulm zu.;Q9-Skripte, digitale Nutzung;Q9-Skripte, Papierdruck;Lehrbuch/-bücher Wenn ja, welches Lehrbuch nutzen Sie primär? ____________________________________________;Leitlinien der Fachgesellschaften (im Original);Anki-Lernkarten (bereitgestellt durch Institut für klin. Pharmakologie);Anki-Lernkarten (selbst oder anderweitig erstellt);Aufgaben/Patientenfälle auf Moodle;Testfragen auf Moodle;andere: ____________________________________________;2. Wie kann Ihre grundsätzliche Haltung gegenüber E-Learning-Angeboten beschrieben werden?;Lernskripte;zeitunabhängig angebotene Vorlesungs- und Seminarvideos;Online-Live-Veranstaltungen an bestimmten Terminen (z.B. über Zoom);Präsenzveranstaltungen an bestimmten Terminen;Aufgaben zur eigenständigen Bearbeitung (mit Lösung);Testfragen zu den Lerninhalten;Anki-Lernkarten (bereitgestellt durch Institut für klinische Pharmakologie);Anki-Lernkarten (selbst oder anderweitig erstellt);alle sind gleich nützlich;4. Welche Form der Lehre würden Sie in Zukunft bevorzugen?;5. Haben Sie die Anki-Lernkarten Klinische Pharmakologie genutzt?;6. Haben Sie die Anki-Lernkarten als Lernmaterial als hilfreich empfunden?;7. In welchem Umfang haben Sie die Anki-Lernkarten verwendet?;Installation des Programms(Zeit in Stunden):                                       ;Einarbeiten/Lesen der Bedienungsanleitung (Zeit in Stunden):;Lernen mit Anki-Lernkarten (durchschnittliche Stunden pro Woche, innerhalb der letzten 6 Monate):;semesterbegleitend ;zur Prüfungsvorbereitung;in speziellen Situationen, z.B. im Bus/Zug;Sonstiges: ____________________;PC;Laptop;Tablet;Handy;Ich hatte nicht ausreichend Zeit dazu. ;Die Lernkarten haben mich nicht interessiert.;Das bestehende Angebot an Lehrmaterialien war für mich ausreichend.;Die Installation der Software und/oder die Auseinandersetzung mit der Bedienungsanleitung waren mir zu aufwändig.;Ich wusste nicht, dass es die Lernkarten gibt.;Ich nutze eigene Lernkarten.;Sonstige Gründe: ______________________________________;12. Sollten Ihrer Meinung nach Anki-Lernkarten in Zukunft weiter angeboten werden?;13. Haben Sie Anmerkungen zu den Anki-Lernkarten? Haben Sie Anmerkungen zum Q9-Unterricht?;14. Wie schätzen Sie Ihre Studienleistung  insgesamt im Vergleich zu anderen Studierenden Ihres Semesters ein?;15. Wie schätzen Sie Ihre Studienleistung  im Fach Klinische Pharmakologie im Vergleich zu anderen Studierenden Ihres Semesters ein?;Nein, nicht wesentlich.;Ja, ich habe seitdem weniger Zeit mit studienbezogenen Tätigkeiten (z.B. Lernen) verbracht als zuvor.;Ja, ich habe seitdem mehr Zeit mit studienbezogenen Tätigkeiten (z.B. Lernen) verbracht als zuvor.;Ja, ich verwende seitdem mehr E-Learning-Tools als vorher.;Ja, ich lerne seitdem weniger gemeinsam mit Kommilitonen/in Lerngruppen als vorher.;Ja, ich lerne seitdem mehr gemeinsam mit Kommilitonen/in Lerngruppen als vorher.;Sonstige Veränderungen: ______________________________________;Wie alt sind Sie (in Jahren)?;Bitte geben Sie Ihr Geschlecht an:;Datensatz-Ursprung;Pruefungspunkte
1;BU   05;SA   10;1;0;1;0;0;1;0;0;1;0;1;1;0;0;0;0;1;1;0;0;3;2;;;;;;;;;;;;;;1;0;0;0;0;0;0;1;[LEER];4;4;0;1;0;0;0;0;0;ZG;2;P;33
2;MI   20;CA   13;1;1;0;0;1;1;0;1;1;0;1;1;1;0;0;1;0;0;0;0;1;1;2;1;5;25;6;0;1;1;0;0;1;1;0;;;;;;;;1;[LEER];3;3;0;1;0;1;1;0;0;ZZ;1;P;33
3;HA   23;YA   32;;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;3;2;2;;;;;;;;;0;0;1;0;1;0;1;0;0;0;0;1;[LEER];3;3;0;0;0;1;0;0;0;Z7;2;P;
4;BI   27;KA   03;1;1;1;0;0;0;0;1;1;0;1;1;1;0;0;1;1;0;0;0;3;2;;;;;;;;;;;;;;0;0;1;1;0;0;0;;[LEER];3;3;0;0;0;1;1;0;0;Z5;1;P;35
5;BA   27;JP   11;1;1;1;0;0;0;0;1;1;1;2;0;0;0;0;0;1;0;0;0;2;2;;;;;;;;;;;;;;1;0;0;0;0;0;0;1;[LEER];2;3;0;0;1;0;0;0;0;Z1;2;P;29
6;IN   22;KA   28;1;1;0;0;1;0;0;1;1;0;1;1;1;1;0;0;1;1;0;0;3;1;1;2;5;1;Z;0;1;0;0;0;1;0;0;;;;;;;;1;[LEER];3;2;0;1;0;0;0;0;0;29;2;P;19
7;SA   27;KL   18;1;1;0;1;0;0;1;1;1;1;1;1;0;0;0;1;1;0;1;0;3;2;;;;;;;;;;;;;;0;0;0;0;0;1;0;1;[LEER];4;4;;;;;;;;ZZ;1;P;39
8;DO   29;KA   25;1;1;0;1;0;1;0;0;0;0;1;1;0;0;1;1;1;0;0;0;3;1;1;1;OO;OO;Z;1;1;0;0;0;0;0;1;;;;;;;;1;[LEER];4;4;0;0;0;1;1;0;0;;;P;28
9;BE   29;JO   03;1;1;0;0;0;1;0;1;0;1;1;1;1;1;0;1;1;0;0;0;1;1;2;3;25;25;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;[LEER];3;2;0;1;0;0;0;0;0;27;1;P;30
10;BE   03;BE   17;1;1;0;0;0;0;0;0;1;0;1;1;1;0;0;0;1;0;0;0;3;2;2;;;;;;;;;;;;;0;0;0;0;0;1;0;1;[LEER];3;3;0;0;1;1;0;0;0;Z4;2;P;37
11;MA   26;HE   08;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;;;2;;;;;;;;;;;;;1;0;0;0;0;0;0;;[LEER];3;3;0;0;1;0;0;0;0;27;1;P;37
12;MA   20;WE   17;1;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;3;2;;;;;;;;;;;;;;1;1;1;0;0;0;0;1;[LEER];3;3;1;0;0;0;0;0;0;Z9;1;P;29
13;DO   03;HE   28;1;1;1;0;0;1;1;1;1;1;1;0;0;0;0;0;1;1;1;0;2;1;1;1;O,Z;O;5;0;1;0;0;0;1;0;0;;;;;;;;1;[LEER];3;3;0;0;0;1;0;0;0;ZZ;1;P;24
14;RA   ;;;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;2;;;;;;;;;;;;;;1;0;0;0;0;0;0;1;[LEER];;2;1;0;0;0;0;0;0;Z5;2;P;
15;SE   08;DE   17;1;1;0;1;0;1;0;1;1;0;1;1;1;0;1;1;1;1;0;0;2;1;1;1;;;;;;;;;;;;;;;;;;;;[LEER];;;;;;;;;;;;P;30
16;AN   31;MA   18;1;1;1;0;0;1;0;0;1;0;1;1;1;1;1;1;1;1;0;0;1;1;1;3;O;O;;0;1;0;0;0;1;0;0;;;;;;;;1;[LEER];3;1;0;1;0;1;1;0;0;Z4;1;P;26
17;JO   31;MA   18;1;1;0;0;0;0;0;1;1;1;1;1;1;0;0;1;1;0;0;0;3;2;;;;;;;;;;;;;;0;0;0;0;0;0;1;1;[LEER];3;2;1;0;0;0;0;0;0;ZZ;1;P;34
18;RA   14;MI   21;1;0;1;1;1;1;0;1;1;0;1;1;1;0;1;1;1;1;0;0;3;1;1;3;O1;O1;OZ;0;1;1;0;0;0;0;1;;;;;;;;1;[LEER];3;3;0;0;0;1;1;0;0;Z5;1;P;29
19;AN   21;TH   11;1;1;1;1;0;0;0;0;1;0;1;1;1;0;0;0;1;0;0;0;1;2;;;;;;;;;;;;;;1;0;0;1;0;0;0;1;[LEER];4;2;0;0;1;1;0;0;0;Z5;1;P;36
20;HA   18;NA   10;1;1;0;0;0;0;0;0;0;0;1;1;1;0;0;1;1;0;0;0;1;;;;;;;;;;;;;;;1;0;1;0;0;0;0;1;[LEER];3;3;1;0;0;0;0;0;0;Z4;2;P;38
21;MO   29;GU   12;1;1;0;0;0;1;1;1;1;0;1;1;1;0;0;0;0;0;1;0;1;1;2;1;O25;25;01O;0;1;0;0;0;1;1;1;;;;;;;;1;[LEER];2;1;0;1;0;1;1;0;0;ZB;2;P;27
